instance_size,population,variant,seed,best_fitness,feasible,wall_time_ms,kernel_fitness_ms,kernel_repro_ms,h2d_transfer_ms,d2h_transfer_ms,feasible_pct,init_fitness,final_fitness,improvement
medium,16384,cuda_basic,50,0.223295,Yes,3075,62.0197,1844.14,2.99949,18.7012,13.4888,0.137704,0.223295,0.085591
medium,16384,cuda_basic,51,0.224219,Yes,3418,67.2059,2070.75,3.41834,20.9778,12.8235,0.132296,0.224219,0.0919232
medium,16384,cuda_optimized,42,0.224368,Yes,4003,136.124,2470.14,3.24531,25.5851,13.2324,0.137729,0.224368,0.0866384
medium,16384,cuda_optimized,43,0.222331,Yes,2227,59.7311,1280.02,2.96077,12.507,13.6536,0.13275,0.222331,0.0895811
medium,16384,cuda_optimized,44,0.22366,Yes,2489,64.2316,1477.8,3.04995,14.511,13.8916,0.134802,0.22366,0.0888574
medium,16384,cuda_optimized,45,0.22429,Yes,3290,91.1188,2060.83,3.06806,20.132,13.5559,0.133084,0.22429,0.0912062
medium,16384,cuda_optimized,46,0.224043,Yes,3108,82.1165,1950.87,2.98256,19.2034,12.854,0.135888,0.224043,0.0881546
medium,16384,cuda_optimized,47,0.223865,Yes,2635,68.512,1606.35,3.58806,15.3711,13.4338,0.133057,0.223865,0.090808
medium,16384,cuda_optimized,48,0.223732,Yes,2740,61.1205,1688.09,2.95088,16.7357,13.3972,0.133264,0.223732,0.0904679
medium,16384,cuda_optimized,49,0.223169,Yes,2371,58.2308,1419.75,2.95958,13.7714,13.1104,0.133483,0.223169,0.0896856
medium,16384,cuda_optimized,50,0.223295,Yes,2739,60.6022,1691.4,2.86246,16.4851,13.4888,0.137704,0.223295,0.085591
medium,16384,cuda_optimized,51,0.224219,Yes,3187,96.0143,2001.87,2.90934,18.7101,12.8235,0.132296,0.224219,0.0919232
large,1024,sequential,42,0.208247,Yes,315772,,,,,100,0.111513,0.208247,0.0967334
large,1024,sequential,43,0.207545,Yes,318699,,,,,100,0.113552,0.207545,0.0939926
large,1024,sequential,44,0.205862,Yes,168274,,,,,100,0.112045,0.205862,0.0938173
large,1024,sequential,45,0.208436,Yes,285565,,,,,100,0.113733,0.208436,0.0947026
large,1024,sequential,46,0.208078,Yes,298767,,,,,100,0.1143,0.208078,0.0937783
large,1024,sequential,47,0.208733,Yes,312377,,,,,100,0.112474,0.208733,0.0962586
large,1024,sequential,48,0.208261,Yes,314197,,,,,100,0.113192,0.208261,0.0950686
large,1024,sequential,49,0.208388,Yes,317472,,,,,100,0.112534,0.208388,0.0958535
large,1024,sequential,50,0.207614,Yes,317448,,,,,100,0.112366,0.207614,0.0952477
large,1024,sequential,51,0.208498,Yes,314819,,,,,100,0.113361,0.208498,0.0951374
large,1024,cuda_basic,42,0.194788,Yes,52337,298.543,51336.3,2.75782,12.3638,5.46875,0.112104,0.194788,0.0826842
large,1024,cuda_basic,43,0.194862,Yes,51466,288.319,50504.9,2.53603,12.4199,5.07812,0.112231,0.194862,0.0826312
large,1024,cuda_basic,44,0.194247,Yes,36585,205.499,35804.2,2.1161,9.20157,5.27344,0.111679,0.194247,0.0825675
large,1024,cuda_basic,45,0.195323,Yes,53556,299.489,52536.4,2.10358,12.7582,5.37109,0.112094,0.195323,0.0832289
large,1024,cuda_basic,46,0.193716,Yes,33326,190.513,32567.4,2.70646,8.61632,5.46875,0.113297,0.193716,0.0804183
large,1024,cuda_basic,47,0.192405,Yes,26570,152.474,25904.4,2.09514,6.70829,5.56641,0.114343,0.192405,0.078062
large,1024,cuda_basic,48,0.196187,Yes,53157,298.868,52150.4,2.14896,13.07,5.17578,0.11308,0.196187,0.0831072
large,1024,cuda_basic,49,0.195017,Yes,51208,296.467,50266.4,3.21373,12.6991,4.98047,0.111858,0.195017,0.0831597
large,1024,cuda_basic,50,0.195962,Yes,51001,297.43,50061,2.09962,12.4061,5.56641,0.112954,0.195962,0.0830086
large,1024,cuda_basic,51,0.196434,Yes,50753,294.978,49821.7,2.04051,13.2003,5.46875,0.112696,0.196434,0.0837377
large,1024,cuda_optimized,42,0.194788,Yes,92782,366.026,91776.3,2.19027,13.5952,5.46875,0.112104,0.194788,0.0826842
large,1024,cuda_optimized,43,0.194862,Yes,87235,347.782,86297.5,1.96989,12.5578,5.07812,0.112231,0.194862,0.0826312
large,1024,cuda_optimized,44,0.194247,Yes,63260,252.896,62429.5,2.13382,9.62141,5.27344,0.111679,0.194247,0.0825675
large,1024,cuda_optimized,45,0.195323,Yes,91733,365.599,90732.4,2.09629,13.2532,5.37109,0.112094,0.195323,0.0832289
large,1024,cuda_optimized,46,0.193716,Yes,56847,230.904,56112.5,2.03642,8.45593,5.46875,0.113297,0.193716,0.0804183
large,1024,cuda_optimized,47,0.192405,Yes,42027,172.331,41422.7,2.03606,6.08838,5.56641,0.114343,0.192405,0.078062
large,1024,cuda_optimized,48,0.196187,Yes,83929,336.33,83074.1,2.09686,11.543,5.17578,0.11308,0.196187,0.0831072
large,1024,cuda_optimized,49,0.195017,Yes,83521,331.908,82670.9,2.0015,11.5013,4.98047,0.111858,0.195017,0.0831597
large,1024,cuda_optimized,50,0.195962,Yes,83104,330.831,82255.1,2.49459,11.46,5.56641,0.112954,0.195962,0.0830086
large,1024,cuda_optimized,51,0.196434,Yes,83977,331.842,83135,2.03443,11.4391,5.46875,0.112696,0.196434,0.0837377
large,4096,sequential,42,0.209023,Yes,1260395,,,,,100,0.113862,0.209023,0.0951608
large,4096,sequential,43,0.209027,Yes,1259933,,,,,100,0.11496,0.209027,0.0940674
large,4096,sequential,44,0.20939,Yes,1246604,,,,,100,0.113971,0.20939,0.0954195
large,4096,sequential,45,0.208101,Yes,944868,,,,,100,0.11324,0.208101,0.0948616
large,4096,sequential,46,0.208727,Yes,1144870,,,,,100,0.113433,0.208727,0.095294
large,4096,sequential,47,0.208861,Yes,1123561,,,,,100,0.114193,0.208861,0.0946679
large,4096,sequential,48,0.208385,Yes,1070482,,,,,100,0.113193,0.208385,0.0951917
large,4096,sequential,49,0.209419,Yes,1247577,,,,,100,0.112293,0.209419,0.0971263
large,4096,sequential,50,0.209054,Yes,1243405,,,,,100,0.1135,0.209054,0.0955531
large,4096,sequential,51,0.210215,Yes,1232304,,,,,100,0.112728,0.210215,0.0974868
large,4096,cuda_basic,42,0.196701,Yes,63798,503.174,62061.4,6.69491,13.6305,5.54199,0.11363,0.196701,0.0830711
large,4096,cuda_basic,43,0.196392,Yes,63796,503.999,62130,6.69014,13.4165,6.25,0.112617,0.196392,0.0837755
large,4096,cuda_basic,44,0.195595,Yes,63929,503.608,62250,6.72646,13.4482,5.44434,0.113941,0.195703,0.0817612
large,4096,cuda_basic,45,0.196069,Yes,63801,502.593,62137,6.68522,13.3549,5.93262,0.113845,0.196069,0.0822236
large,4096,cuda_basic,46,0.196503,Yes,64003,503.813,62336.1,6.70483,13.4502,5.95703,0.112752,0.196503,0.0837505
large,4096,cuda_basic,47,0.19703,Yes,63514,503.23,61849.5,6.70454,13.2652,5.34668,0.113278,0.197072,0.083794
large,4096,cuda_basic,48,0.195513,Yes,65728,504.093,64013.2,6.69763,13.6644,5.61523,0.113051,0.195513,0.082462
large,4096,cuda_basic,49,0.197184,Yes,63901,499.794,62244.1,6.7168,13.3872,5.7373,0.114443,0.197184,0.0827403
