instance_size,population,variant,seed,best_fitness,feasible,wall_time_ms,kernel_fitness_ms,kernel_repro_ms,h2d_transfer_ms,d2h_transfer_ms,feasible_pct,init_fitness,final_fitness,improvement
medium,4096,sequential,44,0.235991,Yes,76192,0.107424,0.235991,0.1286
medium,4096,sequential,45,0.236545,Yes,100030,0.114162,0.236545,0.1224
medium,4096,sequential,46,0.235147,Yes,56653,0.104662,0.235147,0.1305
medium,4096,sequential,47,0.23781,Yes,99740,0.103003,0.23781,0.1348
medium,4096,sequential,48,0.23457,Yes,70967,0.113835,0.23457,0.1207
medium,4096,sequential,49,0.2375,Yes,99557,0.106001,0.2375,0.1315
medium,4096,sequential,50,0.235476,Yes,64613,0.109119,0.235476,0.1264
medium,4096,sequential,51,0.235939,Yes,83665,0.107255,0.235939,0.1287
medium,4096,cuda_basic,42,0.222223,Yes,1803,41.0179,1184.58,1.27626,16.7547,12.7686,0.133277,0.222223,0.0889
medium,4096,cuda_basic,43,0.223777,Yes,1830,41.4672,1203.83,1.24515,16.7416,12.3779,0.129288,0.223777,0.0945
medium,4096,cuda_basic,44,0.224195,Yes,1860,43.4981,1244.94,1.23315,16.5258,12.3047,0.131129,0.224195,0.0931
medium,4096,cuda_basic,45,0.223073,Yes,2013,46.5623,1335.86,1.23386,17.6341,13.5254,0.127833,0.223073,0.0952
medium,4096,cuda_basic,46,0.219957,Yes,1172,25.7807,730.488,1.2673,10.4247,12.6221,0.128382,0.219957,0.0916
medium,4096,cuda_basic,47,0.223704,Yes,1517,33.7306,977.407,1.34589,13.2233,11.8652,0.127546,0.223704,0.0962
medium,4096,cuda_basic,48,0.220541,Yes,1300,29.2166,832.025,1.31933,11.3199,13.2324,0.135012,0.220541,0.0855
medium,4096,cuda_basic,49,0.223865,Yes,2017,46.3978,1342.8,1.3673,18.2049,13.5254,0.129678,0.223865,0.0942
medium,4096,cuda_basic,50,0.224602,Yes,1980,45.6584,1307.85,1.28134,19.4945,14.3311,0.130389,0.224602,0.0942
medium,4096,cuda_basic,51,0.224233,Yes,1986,46.2651,1329.62,1.24461,19.544,12.2314,0.129036,0.224233,0.0952
medium,4096,cuda_optimized,42,0.222223,Yes,2634,45.7593,2040.21,1.28483,15.3054,12.7686,0.133277,0.222223,0.0889
medium,4096,cuda_optimized,43,0.223777,Yes,2704,46.4001,2082.24,1.2832,15.9974,12.3779,0.129288,0.223777,0.0945
medium,4096,cuda_optimized,44,0.224195,Yes,2819,48.7194,2178.08,1.27472,17.2879,12.3047,0.131129,0.224195,0.0931
